id,make,model,submodel,modification_key,modification,fuel,door_count,capacity,power1,power2,weight,construction_start,construction_end,meta,final_submodel,parsed_model,parsed_engine_type,parsed_engine_size,parsed_options,parsed_category,parsed_transmission
28,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Cabrio,20552357-aff2-5384-afab-4619c87aa3c2,Golf 2.0 TDI,D,2,1968,103,140,1.87,2008,2013,"{""raw"":""Golf 2.0 TDI\nD\n2\n1968\n 103 (140)\n1.87\n2008 - 2013""}",,Golf,TDI,2,,Cabriolet/Roadster,manual
29,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,6c829bae-42c8-5984-bfc0-820965aeb421,Golf 1.6 TDI DPF Trendline M5,D,5,1598,66,89,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF Trendline M5\nD\n5\n1598\n 66 (89)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF Trendline M5,Small Car,manual
30,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,42028b3d-a694-5936-a0fa-7507eae4be7a,Golf 1.6 TDI DPF Trendline M5,D,5,1598,77,104,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF Trendline M5\nD\n5\n1598\n 77 (104)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF Trendline M5,Small Car,manual
31,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,0be7d442-c4bd-5a70-8f90-2c1e1dcf09b3,Golf 1.6 TDI DPF BlueMotion M5,D,5,1598,77,104,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF BlueMotion M5\nD\n5\n1598\n 77 (104)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF BlueMotion M5,Small Car,manual
32,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,853c23c7-5ffe-5549-9bcc-059554c8c5d4,Golf 1.6 TDI DPF Comfortline M5,D,5,1598,77,104,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF Comfortline M5\nD\n5\n1598\n 77 (104)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF Comfortline M5,Small Car,manual
33,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,747c4f80-44cb-54e2-9bea-4a09eda061e3,Golf 1.6 TDI DPF DSG Trendline A7,D,5,1598,77,104,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF DSG Trendline A7\nD\n5\n1598\n 77 (104)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF DSG Trendline A7,Small Car,automatic
34,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,59698823-5210-5980-a564-8fd09582e9db,Golf 1.6 TDI DPF DSG Comfortline A7,D,5,1598,77,104,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF DSG Comfortline A7\nD\n5\n1598\n 77 (104)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF DSG Comfortline A7,Small Car,automatic
35,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,678e6d25-e053-595d-8e03-1454168c9b99,Golf 1.6 TDI DPF,D,3,1598,77,104,1.87,2009,2013,"{""raw"":""Golf 1.6 TDI DPF\nD\n3\n1598\n 77 (104)\n1.87\n2009 - 2013""}",,Golf,TDI,1.6,DPF,Small Car,manual
36,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,575658d1-ff92-5166-93ab-32370f3dfe06,Golf 2.0 TDI DPF DSG Highline A6,D,5,1968,81,110,1.87,2008,2010,"{""raw"":""Golf 2.0 TDI DPF DSG Highline A6\nD\n5\n1968\n 81 (110)\n1.87\n2008 - 2010""}",,Golf,TDI,2,DPF DSG Highline A6,Small Car,automatic
37,VW,GOLF (2008 - 2012)  VI,VW GOLF (2008 - 2012)  VI Hečbekas,8a3c08e1-bc62-5186-950a-4692c19a4118,Golf 2.0 TDI DPF Trendline M5,D,5,1968,81,110,1.87,2008,2010,"{""raw"":""Golf 2.0 TDI DPF Trendline M5\nD\n5\n1968\n 81 (110)\n1.87\n2008 - 2010""}",,Golf,TDI,2,DPF Trendline M5,Small Car,manual
